"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2016-10-01","96.8","-1.5111","6.4994","Jeurys Familia",519237,544727,"null","foul",,,,,4,"null","R","R","R","PHI","NYM","S","null","null",1,1,2016,"-1.3282250000000000","0.60706666666666666667","-0.6170","2.4260","null","null","null",1,9,"Bot","null","null",,,518595,,"161001_160338","5.5120","-140.7780","-5.7580","-17.1010","35.1670","-26.4710","3.3800","1.5600","193","85.3","62.4","96.0370","2151","6.3740",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.1251","null","null","null","null","null","null","null",72,"3","Sinker",3,5,3,5,5,3,3,5,"Standard","Standard"
"SI","2016-10-01","99.2","-1.5844","6.5568","Jeurys Familia",519237,544727,"null","ball",,,,,14,"null","R","R","R","PHI","NYM","B","null","null",0,1,2016,"-1.3421416666666667","0.92956666666666666667","0.8720","2.0720","null","null","null",1,9,"Bot","null","null",,,518595,,"161001_160313","9.6020","-143.9180","-8.0130","-18.0900","36.3760","-21.5180","3.3800","1.5600","null","null","null","97.8580","2221","6.1700",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.3299","null","null","null","null","null","null","null",72,"2","Sinker",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2016-10-01","88.1","-1.7463","6.5359","Jeurys Familia",519237,544727,"null","called_strike",,,,,4,"null","R","R","R","PHI","NYM","S","null","null",0,0,2016,"0.35012500000000000000","0.04233333333333333333","-0.2800","2.6160","null","null","null",1,9,"Bot","null","null",,,518595,,"161001_160257","2.5720","-128.2380","-2.9350","5.7570","25.8110","-33.9340","3.4100","1.5600","null","null","null","86.9090","null","5.7140",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.7850","null","null","null","null","null","null","null",72,"1","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"SI","2016-10-01","93.3","-1.6091","6.6582","Jeurys Familia",429667,544727,"strikeout","swinging_strike",,,,,11,"Ryan Howard strikes out swinging.  ","R","L","R","PHI","NYM","S",2,"null",1,2,2016,"-0.59203333333333333333","0.60420000000000000000","-1.2280","2.9850","null","null","null",0,9,"Bot","null","null",,,518595,,"161001_160213","2.2350","-135.8730","-4.3530","-6.2130","29.4470","-26.8270","3.8100","1.8400","null","null","null","92.2820","1557","5.8300",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.6694","null","null","0.00",1,0,0,"null",71,"6","Sinker",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"SI","2016-10-01","99.2","-1.7705","6.4618","Jeurys Familia",429667,544727,"null","foul",,,,,2,"null","R","L","R","PHI","NYM","S","null","null",1,2,2016,"-1.06102500000000000000","1.3323333333333333","-0.1090","3.2130","null","null","null",0,9,"Bot","null","null",,,518595,,"161001_160150","7.0290","-144.1400","-5.6910","-14.0490","33.8900","-15.5060","3.8100","1.8400","233","81.2","44.1","98.3810","2261","6.1850",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.3142","null","null","null","null","null","null","null",71,"5","Sinker",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"SL","2016-10-01","88.6","-1.7467","6.4684","Jeurys Familia",429667,544727,"null","foul",,,,,14,"null","R","L","R","PHI","NYM","S","null","null",1,2,2016,"-0.10077500000000000000","-0.03220000000000000000","0.8500","1.8950","null","null","null",0,9,"Bot","null","null",,,518595,,"161001_160114","6.3520","-128.9100","-4.2520","0.3590","25.8950","-34.8280","3.8100","1.8400","6","81.2","-14.6","87.6510","null","5.8950",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.6043","null","null","null","null","null","null","null",71,"4","Slider",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"SI","2016-10-01","98.7","-1.6901","6.5219","Jeurys Familia",429667,544727,"null","ball",,,,,13,"null","R","L","R","PHI","NYM","B","null","null",0,2,2016,"-1.3616250000000000","0.34190000000000000000","-1.5370","2.1050","null","null","null",0,9,"Bot","null","null",,,518595,,"161001_160052","3.8960","-143.5290","-6.3050","-18.2830","36.3520","-30.0540","3.9200","1.8400","null","null","null","97.2850","2175","6.0090",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.4903","null","null","null","null","null","null","null",71,"3","Sinker",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"FF","2016-10-01","97.3","-1.7410","6.5040","Jeurys Familia",429667,544727,"null","swinging_strike",,,,,2,"null","R","L","R","PHI","NYM","S","null","null",0,1,2016,"-0.61569166666666666667","1.4756666666666667","0.2470","3.4910","null","null","null",0,9,"Bot","null","null",,,518595,,"161001_160029","6.5150","-141.4360","-5.2950","-7.0430","33.7300","-14.1520","3.8100","1.8400","null","null","null","96.3280","2129","6.1740",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.3253","null","null","null","null","null","null","null",71,"2","4-Seam Fastball",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"SL","2016-10-01","87.1","-1.7645","6.6882","Jeurys Familia",429667,544727,"null","called_strike",,,,,8,"null","R","L","R","PHI","NYM","S","null","null",0,0,2016,"0.04674166666666666667","0.16703333333333333333","-0.1010","1.9020","null","null","null",0,9,"Bot","null","null",,,518595,,"161001_160012","3.8290","-126.7560","-4.8740","2.0750","24.4120","-32.4700","4.0300","1.8400","null","null","null","86.1650","null","5.7970",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.7020","null","null","null","null","null","null","null",71,"1","Slider",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"SI","2016-09-30","97.0","-1.5660","6.5662","Jeurys Familia",605125,544727,"strikeout","called_strike",,,,,2,"Cody Asche called out on strikes.  ","R","L","R","PHI","NYM","S",2,"null",0,2,2016,"-1.3769333333333333","0.61996666666666666667","-0.1600","3.1940","null",571437,"null",2,9,"Bot","null","null",,,425784,,"160930_220011","7.1060","-141.0450","-4.0370","-17.9620","33.4250","-26.2200","3.6600","1.6100","null","null","null","96.5650","2303","6.4240",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.0754","null","null","0.00",1,0,0,"null",73,"3","Sinker",1,5,1,5,5,1,1,5,"Infield shift","Standard"
"SI","2016-09-30","95.9","-1.5611","6.5401","Jeurys Familia",605125,544727,"null","swinging_strike",,,,,13,"null","R","L","R","PHI","NYM","S","null","null",0,1,2016,"-1.2405500000000000","0.66726666666666666667","-0.2020","1.0600","null",571437,"null",2,9,"Bot","null","null",,,425784,,"160930_215944","6.4130","-139.1140","-9.2350","-15.4820","33.9490","-25.7690","3.5700","1.6100","null","null","null","94.6220","2242","6.1830",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.3165","null","null","null","null","null","null","null",73,"2","Sinker",1,5,1,5,5,1,1,5,"Infield shift","Standard"
"SI","2016-09-30","96.4","-1.6066","6.6683","Jeurys Familia",605125,544727,"null","called_strike",,,,,8,"null","R","L","R","PHI","NYM","S","null","null",0,0,2016,"-1.17792500000000000000","0.56406666666666666667","-0.1830","2.1430","null","null",571437,2,9,"Bot","null","null",,,425784,,"160930_215922","6.4230","-140.1200","-6.5900","-14.8950","33.2920","-27.0870","3.7800","1.8200","null","null","null","95.4430","2294","6.1540",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.3456","null","null","null","null","null","null","null",73,"1","Sinker",1,5,1,5,5,1,1,5,"Infield shift","Standard"
"FF","2016-09-30","97.1","-1.8329","6.5548","Jeurys Familia",571437,544727,"walk","ball",,,,,3,"Aaron Altherr walks.  ","R","R","R","PHI","NYM","B","null","null",3,0,2016,"-0.97474166666666666667","1.4498666666666667","0.2950","3.5280","null","null","null",2,9,"Bot","null","null",,,425784,,"160930_215828","7.8930","-141.1050","-4.9230","-12.1150","35.2740","-14.6970","4.1200","1.8100","null","null","null","95.9960","2279","6.2320",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.2672","null","null","0.70",1,0,0,"null",72,"4","4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard"
"SI","2016-09-30","95.3","-1.6062","6.5593","Jeurys Familia",571437,544727,"null","ball",,,,,13,"null","R","R","R","PHI","NYM","B","null","null",2,0,2016,"-1.4715666666666667","0.45370000000000000000","-0.5400","1.3040","null","null","null",2,9,"Bot","null","null",,,425784,,"160930_215802","6.0300","-138.4360","-8.0510","-18.6660","31.4200","-28.6760","4.2000","1.8400","null","null","null","94.8170","2279","6.3600",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.1397","null","null","null","null","null","null","null",72,"3","Sinker",1,5,1,5,5,1,1,5,"Standard","Standard"
"FF","2016-09-30","96.6","-1.5595","6.4858","Jeurys Familia",571437,544727,"null","ball",,,,,14,"null","R","R","R","PHI","NYM","B","null","null",1,0,2016,"-0.77851666666666666667","1.4326666666666667","1.0730","2.5360","null","null","null",2,9,"Bot","null","null",,,425784,,"160930_215740","8.6100","-140.2070","-7.3760","-9.3870","28.2060","-14.7820","4.2000","1.8100","null","null","null","96.8730","2281","6.5940",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"53.9058","null","null","null","null","null","null","null",72,"2","4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard"
"SI","2016-09-30","96.5","-1.4658","6.6239","Jeurys Familia",571437,544727,"null","ball",,,,,13,"null","R","R","R","PHI","NYM","B","null","null",0,0,2016,"-1.4660000000000000","0.92383333333333333333","-0.1890","1.4390","null","null","null",2,9,"Bot","null","null",,,425784,,"160930_215718","7.0740","-139.9630","-9.1760","-18.9640","32.8990","-22.1180","4.2700","1.9500","null","null","null","95.5400","2197","6.2950",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.2044","null","null","null","null","null","null","null",72,"1","Sinker",1,5,1,5,5,1,1,5,"Standard","Standard"
"SL","2016-09-30","87.0","-1.6677","6.6326","Jeurys Familia",571830,544727,"strikeout","swinging_strike",,,,,9,"Tommy Joseph strikes out swinging.  ","R","R","R","PHI","NYM","S",2,"null",2,2,2016,"0.38352500000000000000","-0.02216666666666666667","0.5590","1.7050","null","null","null",1,9,"Bot","null","null",,,425784,,"160930_215645","4.2800","-126.5280","-4.7010","6.0210","24.1400","-34.6250","3.4100","1.6100","null","null","null","86.1500","null","5.8310",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.6688","null","null","0.00",1,0,0,"null",71,"5","Slider",1,5,1,5,5,1,1,5,"Standard","Standard"
"SI","2016-09-30","95.0","-1.5598","6.6577","Jeurys Familia",571830,544727,"null","foul",,,,,13,"null","R","R","R","PHI","NYM","S","null","null",2,1,2016,"-1.4687833333333333","0.47376666666666666667","-1.0380","2.0970","null","null","null",1,9,"Bot","null","null",,,425784,,"160930_215620","4.8110","-138.0140","-6.2300","-18.4410","32.6190","-28.4410","3.4100","1.6100","9","95.9","-13.8","94.1800","2190","6.2690",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.2306","null","null","null","null","null","null","null",71,"4","Sinker",1,5,1,5,5,1,1,5,"Standard","Standard"
