"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2015-10-04","97.6","-1.2410","6.3449","Jeurys Familia",543685,544727,"field_out","hit_into_play",,,,,4,"Anthony Rendon grounds out sharply, second baseman Daniel Murphy to first baseman Lucas Duda.  ","R","R","R","NYM","WSH","X",4,"ground_ball",3,1,2015,"-1.3880666666666667","0.93386666666666666667","-0.5060","2.4770","null","null","null",0,9,"Top","140.02","150.43",,,518595,,"151004_173614","4.6410","-141.8520","-6.4770","-18.3140","34.0480","-21.7320","3.4400","1.5300","35","93.9","-1.6","96.8460","2075","6.2460",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.2545","0.370","0.339","0.00",1,0,0,2,58,"5","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","96.1","-1.2828","6.4203","Jeurys Familia",543685,544727,"null","ball",,,,,11,"null","R","R","R","NYM","WSH","B","null","null",2,1,2015,"-1.2850833333333333","0.66010000000000000000","-1.4490","3.2680","null","null","null",0,9,"Top","null","null",,,518595,,"151004_173545","2.0100","-139.9230","-3.8090","-16.3570","33.3870","-25.7660","3.3200","1.5300","null","null","null","94.3990","2046","5.6080",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.8925","null","null","null","null","null","null","null",58,"4","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2015-10-04","87.6","-1.2865","6.2705","Jeurys Familia",543685,544727,"null","ball",,,,,14,"null","R","R","R","NYM","WSH","B","null","null",1,1,2015,"0.25270833333333333333","-0.17553333333333333333","1.6220","0.5040","null","null","null",0,9,"Top","null","null",,,518595,,"151004_173524","5.5950","-127.2880","-6.8390","4.5080","26.3010","-36.4020","3.3600","1.5300","null","null","null","86.3370","608","5.8440",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.6562","null","null","null","null","null","null","null",58,"3","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","96.4","-1.1831","6.4613","Jeurys Familia",543685,544727,"null","called_strike",,,,,11,"null","R","R","R","NYM","WSH","S","null","null",1,0,2015,"-1.4103333333333333","0.93386666666666666667","-0.8570","2.8400","null","null","null",0,9,"Top","null","null",,,518595,,"151004_173501","3.5240","-140.1730","-5.6590","-17.9600","37.1950","-22.0950","3.3700","1.5300","null","null","null","94.9670","2092","6.1030",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.3968","null","null","null","null","null","null","null",58,"2","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","96.6","-1.2059","6.4467","Jeurys Familia",543685,544727,"null","ball",,,,,11,"null","R","R","R","NYM","WSH","B","null","null",0,0,2015,"-1.2836916666666667","0.84500000000000000000","-1.3970","3.1520","null","null","null",0,9,"Top","null","null",,,518595,,"151004_173441","1.9330","-140.6100","-4.6020","-16.3510","36.1880","-23.2210","3.3500","1.5200","null","null","null","95.2960","2065","6.0340",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.4658","null","null","null","null","null","null","null",58,"1","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"FS","2015-10-01","94.2","-1.1212","6.6528","Jeurys Familia",571437,544727,"strikeout","swinging_strike",,,,,13,"Aaron Altherr strikes out swinging.  ","R","R","R","PHI","NYM","S",2,"null",0,2,2015,"-1.7011916666666667","0.79626666666666666667","-1.2700","1.3600","null","null","null",2,8,"Bot","null","null",,,608700,,"151001_142418","3.3900","-136.8100","-8.9200","-21.2200","32.4100","-24.2800","3.8600","1.7600","null","null","null","92.8940","2024","5.8630",416032,544727,608700,150212,430637,493472,514913,458913,501571,543590,"54.6363","null","null","0.00",1,0,0,"null",60,"3","Split Finger",3,0,3,0,0,3,3,0,"Standard","Standard"
"SL","2015-10-01","85.3","-1.1631","6.7036","Jeurys Familia",571437,544727,"null","called_strike",,,,,9,"null","R","R","R","PHI","NYM","S","null","null",0,1,2015,"0.08153333333333333333","0.20860000000000000000","0.3900","2.5300","null","null","null",2,8,"Bot","null","null",,,608700,,"151001_142403","3.1700","-124.1800","-3.5400","2.4300","20.0200","-32.0000","4.0600","1.9000","null","null","null","84.9460","1178","5.7080",416032,544727,608700,150212,430637,493472,514913,458913,501571,543590,"54.7918","null","null","null","null","null","null","null",60,"2","Slider",3,0,3,0,0,3,3,0,"Standard","Standard"
"FS","2015-10-01","93.6","-1.0715","6.7155","Jeurys Familia",571437,544727,"null","called_strike",,,,,4,"null","R","R","R","PHI","NYM","S","null","null",0,0,2015,"-1.5996000000000000","0.94963333333333333333","-0.7500","2.5900","null","null","null",2,8,"Bot","null","null",,,608700,,"151001_142347","4.2600","-135.9700","-6.3300","-19.4700","34.1200","-22.4600","4.1000","1.8500","null","null","null","93.3820","2164","6.6650",416032,544727,608700,150212,430637,493472,514913,458913,501571,543590,"53.8345","null","null","null","null","null","null","null",60,"1","Split Finger",3,0,3,0,0,3,3,0,"Standard","Standard"
"FS","2015-09-26","94.7","-0.9042","6.5053","Jeurys Familia",457803,544727,"strikeout","swinging_strike",,,,,13,"Jay Bruce strikes out swinging.  ","R","L","R","CIN","NYM","S",2,"null",0,2,2015,"-0.68527500000000000000","0.14410000000000000000","-1.3260","1.8110",458015,408252,"null",2,9,"Bot","null","null",,,518595,,"150926_191046","0.9030","-137.7990","-5.9750","-7.9150","21.7480","-32.8640","3.7100","1.7400","null","null","null","null","null","null",415963,544727,518595,446263,502517,431151,514913,493316,501571,434158,"54.3077","null","null","0.00",1,0,0,"null",82,"3","Split Finger",2,10,2,10,10,2,2,10,"null","null"
"SI","2015-09-26","98.5","-0.8734","6.3405","Jeurys Familia",457803,544727,"null","foul",,,,,4,"null","R","L","R","CIN","NYM","S","null","null",0,1,2015,"-1.3894583333333333","0.63143333333333333333","-0.6320","2.3590",458015,408252,"null",2,9,"Bot","null","null",,,518595,,"150926_191010","4.1380","-143.2060","-5.9140","-18.8590","32.0140","-25.8190","3.7100","1.7400","null","null","null","98.9430","2272","6.6260",415963,544727,518595,446263,502517,431151,514913,493316,501571,434158,"53.8729","null","null","null","null","null","null","null",82,"2","Sinker",2,10,2,10,10,2,2,10,"Standard","Standard"
