Count,Ahead,Close,AfterFifth,Righty,Pitch
1-2,True,True,True,False,Changeup
0-2,True,True,True,False,4-Seam Fastball
0-1,True,True,True,False,4-Seam Fastball
0-0,True,True,True,False,Changeup
0-2,True,True,True,True,Slider
0-1,True,True,True,True,4-Seam Fastball
0-0,True,True,True,True,Slider
2-2,True,True,False,False,Slider
1-2,True,True,False,False,4-Seam Fastball
1-1,True,True,False,False,4-Seam Fastball
0-1,True,True,False,False,4-Seam Fastball
0-0,True,True,False,False,Sinker
1-1,True,True,False,False,Changeup
0-1,True,True,False,False,Changeup
0-0,True,True,False,False,Changeup
1-2,True,True,False,True,Changeup
1-1,True,True,False,True,4-Seam Fastball
1-0,True,True,False,True,Curveball
0-0,True,True,False,True,Sinker
2-2,False,True,False,False,Slider
1-2,False,True,False,False,Slider
1-2,False,True,False,False,4-Seam Fastball
1-1,False,True,False,False,4-Seam Fastball
0-1,False,True,False,False,4-Seam Fastball
0-0,False,True,False,False,Changeup
0-0,False,True,False,False,Sinker
2-0,False,True,False,False,Sinker
1-0,False,True,False,False,Changeup
0-0,False,True,False,False,Slider
0-1,False,True,False,True,Sinker
0-0,False,True,False,True,4-Seam Fastball
0-2,False,True,False,False,Changeup
0-1,False,True,False,False,Sinker
0-0,False,True,False,False,Sinker
1-1,False,True,False,True,Slider
0-1,False,True,False,True,Slider
0-0,False,True,False,True,4-Seam Fastball
0-1,False,True,False,False,Slider
0-0,False,True,False,False,4-Seam Fastball
2-1,False,True,False,False,Sinker
1-1,False,True,False,False,Slider
0-1,False,True,False,False,Slider
0-0,False,True,False,False,Sinker
0-0,False,True,False,True,Sinker
0-1,False,True,False,False,4-Seam Fastball
0-0,False,True,False,False,4-Seam Fastball
2-2,False,True,False,False,Changeup
1-2,False,True,False,False,4-Seam Fastball
1-2,False,True,False,False,4-Seam Fastball
1-1,False,True,False,False,Slider
1-0,False,True,False,False,4-Seam Fastball
0-0,False,True,False,False,Sinker
3-2,False,True,False,False,Changeup
2-2,False,True,False,False,Sinker
1-2,False,True,False,False,4-Seam Fastball
1-2,False,True,False,False,Changeup
1-2,False,True,False,False,4-Seam Fastball
1-1,False,True,False,False,Changeup
0-1,False,True,False,False,Sinker
0-0,False,True,False,False,Sinker
2-2,False,True,True,False,Slider
1-2,False,True,True,False,Changeup
1-2,False,True,True,False,Slider
1-1,False,True,True,False,Slider
0-1,False,True,True,False,Changeup
0-0,False,True,True,False,Slider
0-2,False,True,True,True,Slider
0-1,False,True,True,True,Sinker
0-0,False,True,True,True,Slider
3-2,False,True,True,False,Changeup
3-1,False,True,True,False,Changeup
3-0,False,True,True,False,4-Seam Fastball
2-0,False,True,True,False,4-Seam Fastball
1-0,False,True,True,False,Changeup
0-0,False,True,True,False,Slider
3-1,False,True,True,True,Sinker
2-1,False,True,True,True,Changeup
1-1,False,True,True,True,Slider
1-0,False,True,True,True,Sinker
0-0,False,True,True,True,4-Seam Fastball
0-2,False,True,True,True,Slider
0-2,False,True,True,True,Changeup
0-1,False,True,True,True,Changeup
0-0,False,True,True,True,Curveball
0-0,False,True,False,False,Slider
0-1,False,True,False,True,Sinker
0-0,False,True,False,True,Slider
3-1,False,True,False,False,Sinker
2-1,False,True,False,False,4-Seam Fastball
2-0,False,True,False,False,4-Seam Fastball
1-0,False,True,False,False,4-Seam Fastball
0-0,False,True,False,False,Slider
0-2,True,True,False,False,4-Seam Fastball
0-1,True,True,False,False,4-Seam Fastball
0-0,True,True,False,False,4-Seam Fastball
2-2,True,True,False,False,4-Seam Fastball
1-2,True,True,False,False,4-Seam Fastball
0-2,True,True,False,False,Changeup
0-1,True,True,False,False,Slider
0-0,True,True,False,False,Changeup
3-2,True,True,False,True,Slider
2-2,True,True,False,True,Sinker
2-2,True,True,False,True,4-Seam Fastball
1-2,True,True,False,True,Slider
0-2,True,True,False,True,Sinker
0-1,True,True,False,True,Sinker
0-0,True,True,False,True,Sinker
1-2,True,True,False,False,Slider
1-1,True,True,False,False,4-Seam Fastball
1-0,True,True,False,False,4-Seam Fastball
0-0,True,True,False,False,4-Seam Fastball
3-2,True,True,False,True,Slider
2-2,True,True,False,True,Changeup
2-1,True,True,False,True,Changeup
2-0,True,True,False,True,Sinker
1-0,True,True,False,True,4-Seam Fastball
0-0,True,True,False,True,Slider
3-2,True,True,False,True,Sinker
2-2,True,True,False,True,Slider
2-2,True,True,False,True,Changeup
2-1,True,True,False,True,Sinker
