"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2019-09-29","92.3","-1.4179","6.2004","Noah Syndergaard",542364,592789,"null","ball",,,,,13,"null","R","L","R","NYM","ATL","B","null","null",0,2,2019,"-1.3530","0.5779","-1.0705","1.7467","null","null",459964,0,7,"Top","null","null",,,621512,,"190929_210522","4.0182","-134.5034","-6.9614","-17.8450","29.4968","-23.5681","3.2757","1.6094","null","null","null","94.1300","1610","7.3090",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.1900","null","null","null","null","null","null","null",52,"3","Changeup",3,3,3,3,3,3,3,3,"Standard","Standard"
"SI","2019-09-29","98.1","-1.3641","6.3284","Noah Syndergaard",542364,592789,"null","foul",,,,,4,"null","R","L","R","NYM","ATL","S","null","null",0,1,2019,"-1.4795","0.7477","-0.3059","2.1836","null","null",459964,0,7,"Top","null","null",,,621512,,"190929_210453","6.3362","-142.5977","-7.4777","-21.7849","33.6280","-20.3649","3.3800","1.6100","null","null","null","98.3840","2067","6.5650",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.9342","null","null","null","null","null","null","null",52,"2","Sinker",3,3,3,3,3,3,3,3,"Standard","Standard"
"SI","2019-09-29","98.2","-1.3875","6.3251","Noah Syndergaard",542364,592789,"null","called_strike",,,,,1,"null","R","L","R","NYM","ATL","S","null","null",0,0,2019,"-1.3512","0.7902","-0.5097","2.8922","null","null",459964,0,7,"Top","null","null",,,621512,,"190929_210410","5.5217","-142.9017","-5.6500","-19.8111","33.9247","-20.2326","3.3797","1.6094","null","null","null","98.2860","2129","6.4040",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.0956","null","null","null","null","null","null","null",52,"1","Sinker",3,3,3,3,3,3,3,3,"Standard","Standard"
"SI","2019-09-29","98.7","-1.1368","6.3326","Noah Syndergaard",459964,592789,"walk","ball",,,,,13,"Matt Joyce walks.  ","R","L","R","NYM","ATL","B","null","null",3,2,2019,"-1.3963","0.5701","-1.5818","2.0294","null","null","null",0,7,"Top","null","null",,,621512,,"190929_210328","2.0514","-143.5620","-7.5876","-19.7969","34.3312","-22.6949","3.0837","1.5794","null","null","null","98.7710","2121","6.4270",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.0723","null","null","0.70",1,0,0,"null",51,"7","Sinker",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"CH","2019-09-29","93.1","-1.5199","6.2642","Noah Syndergaard",459964,592789,"null","foul",,,,,5,"null","R","L","R","NYM","ATL","S","null","null",3,2,2019,"-1.2110","0.9274","0.1039","2.1276","null","null","null",0,7,"Top","null","null",,,621512,,"190929_210257","6.8631","-135.3081","-6.9023","-16.4587","29.3570","-19.4171","3.1100","1.5800","null","null","null","93.4120","1514","6.5290",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.9709","null","null","null","null","null","null","null",51,"6","Changeup",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"FF","2019-09-29","99.0","-1.4469","6.3129","Noah Syndergaard",459964,592789,"null","foul",,,,,5,"null","R","L","R","NYM","ATL","S","null","null",3,1,2019,"-0.7739","1.3524","-0.1536","2.0907","null","null","null",0,7,"Top","null","null",,,621512,,"190929_210230","5.3041","-143.8963","-9.2194","-11.8895","31.2727","-11.6162","3.0318","1.5794","168","74.8","25.0","98.9520","2317","6.1830",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.3161","null","null","null","null","null","null","null",51,"5","4-Seam Fastball",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"SI","2019-09-29","98.2","-1.3241","6.3480","Noah Syndergaard",459964,592789,"null","ball",,,,,11,"null","R","L","R","NYM","ATL","B","null","null",2,1,2019,"-1.3296","0.5011","-1.2835","2.6709","null","null","null",0,7,"Top","null","null",,,621512,,"190929_210211","3.1660","-142.9392","-5.6771","-18.9272","30.2863","-24.2936","3.0837","1.5794","null","null","null","98.4510","2081","6.2330",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.2668","null","null","null","null","null","null","null",51,"4","Sinker",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"CU","2019-09-29","81.9","-1.3767","6.2796","Noah Syndergaard",459964,592789,"null","ball",,,,,14,"null","R","L","R","NYM","ATL","B","null","null",1,1,2019,"0.9440","-0.4418","1.1296","2.0273","null","null","null",0,7,"Top","null","null",,,621512,,"190929_210152","3.8388","-119.1528","-2.1829","8.1598","23.0469","-36.1477","3.1356","1.5794","null","null","null","81.5560","2291","6.0830",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.4165","null","null","null","null","null","null","null",51,"3","Curveball",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"CH","2019-09-29","91.9","-1.4425","6.2790","Noah Syndergaard",459964,592789,"null","foul",,,,,7,"null","R","L","R","NYM","ATL","S","null","null",1,0,2019,"-1.4233","0.6705","-0.3546","1.9537","null","null","null",0,7,"Top","null","null",,,621512,,"190929_210117","5.8870","-133.6534","-6.6001","-18.4439","28.5000","-22.8714","3.1100","1.5800","null","null","null","92.3330","1575","6.5550",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.9443","null","null","null","null","null","null","null",51,"2","Changeup",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"SI","2019-09-29","97.9","-1.1877","6.4127","Noah Syndergaard",459964,592789,"null","ball",,,,,14,"null","R","L","R","NYM","ATL","B","null","null",0,0,2019,"-1.3637","0.8476","0.0219","1.2429","null","null","null",0,7,"Top","null","null",,,621512,,"190929_210101","6.4397","-142.1884","-10.4641","-20.0663","30.4323","-18.5108","3.0837","1.5794","null","null","null","98.3720","2047","6.5090",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.9901","null","null","null","null","null","null","null",51,"1","Sinker",3,3,3,3,3,3,3,3,"Infield shift","Standard"
